Date,Vhembe,dis35AWRI,dis48AWRI,dis49AWRI,dis50AWRI,dis63AWRI,dis64AWRI,dis65AWRI,dis76AWRI,dis77AWRI,dis86AWRI,dis35EDI,dis48EDI,dis49EDI,dis65EDI,dis76EDI,dis35rainfall,dis48rainfall,dis49rainfall,dis50rainfall,dis63rainfall,dis64rainfall,dis65rainfall,dis76rainfall,dis77rainfall,dis86rainfall,TempThabazimi,TemLEPHALALE,TempPOLOKWANE,TempTHOHOYANDOUAWS,humidityTha,humidityLe,humidityPol,humidityThou,TempHOEDSPRUIT,humidityHoe
1998-01-31 00:00:00,244,170.2,287.1,435.1,194.6,285,130.4,148.2,218.7,144.2,292.4,-0.8,-0.24,0.21,-0.5,-0.62,89,125.7,248.8,110.5,71.1,33.5,69.9,74.2,46.7,122.7,22.49554367,26.29407008,22.81451613,24.66760753,54.55510753,63.44804318,69.98387097,79.62903226,25.68239247,76.25
1998-02-28 00:00:00,562,133.6,236.6,361,148.4,269.1,131.2,114.9,201.7,133.4,257.8,-1.19,-0.66,-0.57,-0.94,-0.89,11.9,30.4,52.1,11.5,56.9,35.4,9.1,41.6,28.7,47.6,24.81799163,27.0827381,22.64672619,24.53159558,71.76150628,55.55803571,68.5639881,76.56528662,25.52083333,75.7514881
1998-03-31 00:00:00,312,114.2,201.9,324.6,129.1,219.1,139.2,117,185.2,159.4,237.7,-1.33,-0.97,-0.74,-0.91,-1.27,13.3,24,53.2,17.9,16.3,41.4,30.8,34.2,60.1,46.5,26.62332696,27.23709677,22.60362903,25.0797043,57.65200765,54.21236559,65.28360215,69.35752688,25.66182796,71.5483871
1998-04-30 00:00:00,269,93.8,184.6,281.7,103.5,200.3,125.7,97.2,154.4,153.5,186,-1.45,-0.99,-0.79,-1.09,-1.48,5.3,28.3,32,3.9,30.1,21,8.2,13,35,5,22.02,23.5775,19.41888889,21.46513889,56.44285714,54.83055556,63.97083333,74.32083333,23.62097222,70.26944444
1998-05-31 00:00:00,101,73.5,142.5,218.8,80.9,154.6,96.2,75.6,119.6,115.9,145.2,-1.49,-1.03,-0.87,-1.15,-1.51,0,0,0.2,0,0.1,0,0,0,0,0,16.28830645,18.53655914,15.74596774,18.83521505,48.50806452,44.16129032,46.74731183,57.95430108,21.13010753,56.52688172
1998-06-30 00:00:00,17,57.9,112,172.3,63.7,121.1,75.6,59.5,94.2,91,114.7,-1.55,-1.06,-0.94,-1.18,-1.57,0,0.2,0.3,0,0,0,0,0,0,0,12.59069374,15.35805556,13.16847222,16.56833333,52.33502538,49.69444444,50.2875,60.60694444,18.78166667,59.19027778
1998-07-31 00:00:00,9,49.4,110.8,173.7,54.8,93.6,59.1,46.3,73.4,71.5,89.5,-1.56,-0.8,-0.63,-1.15,-1.54,4.5,23.9,39.8,5.5,0,0,0,0,0,0,13.62634409,15.39583333,12.93965054,16.15147849,53.31317204,54.11290323,58.66263441,68.6922043,17.74475806,68.09543011
1998-08-31 00:00:00,39,39.2,86.5,139.5,44.2,70.9,45.3,35.1,56.3,55.4,68.5,-1.6,-0.88,-0.71,-1.23,-1.67,2.4,4.8,10.8,3.5,0.8,0.1,0,0.7,0,0.6,16.20833333,17.34260753,14.22110215,17.41948925,47.18548387,49.12634409,52.60349462,63.67607527,19.09206989,64.8938172
1998-09-30 00:00:00,141,42.3,79.6,141.8,41.3,83.3,37.8,28.9,50,47.3,82.1,-1.52,-0.83,-0.54,-1.27,-1.46,14.3,17.1,40.3,9.9,33.1,4.5,3.6,9.5,5.8,32.7,22.46708333,21.98166667,17.80194444,19.80416667,43.51527778,45.71111111,54.85694444,63.67777778,21.3775,64.59861111
1998-10-31 00:00:00,221,106.6,132.7,212.1,72,140.8,64.2,38.3,76.4,67,114.6,0.06,-0.42,0.32,-1.33,-1.33,77.7,77.3,112.2,43.6,85.6,38.3,18.7,43,33.5,59.3,24.0625,23.56518817,19.22002688,20.05456989,54.55510753,58.17876344,67.09274194,80.56048387,21.8766129,74.03629032
1998-11-30 00:00:00,260,147.6,208.8,263.6,132.9,207.1,111.2,96,145.2,131.1,223.5,0.09,0.34,0.3,-0.72,-0.82,75.7,118.9,117.1,84.3,112.7,68.4,70.8,94.8,85.8,146.2,24.30097222,24.75208333,20.30375,21.26833333,60.57083333,61.37916667,71.84305556,81.27222222,21.60597222,80.2125
1998-12-31 00:00:00,626,232.3,333.6,468.2,223,314.4,167.6,175,250.3,273.3,341.5,0.88,1.4,2.22,0.88,0.8,128.1,187.4,281.9,131,169.7,90.4,109.8,150.8,182.9,187.5,22.2,24.08427419,20.31989247,22.88266129,78,73.88037634,77.88172043,86.80376344,23.39126344,85.48387097
1999-01-31 00:00:00,376,295.6,425.9,542.3,240.5,318.2,208.3,198,263.8,228.7,317.8,0.71,1.03,0.95,0.25,0.08,130.1,189.2,213.1,83.3,93.7,89.4,75.5,87.5,37.6,75.7,22.49554367,25.14704301,21.225,24.29811828,54.55510753,70.51612903,76.46908602,82.2016129,24.74852151,83.98521505
1999-02-28 00:00:00,759,434.7,420.6,605.6,247.8,263.9,169,175.5,219.4,194.9,254.1,1.44,0.57,0.68,-0.16,-0.67,218.2,109.8,208,69.9,27.4,17.6,30.2,25,23.7,16.3,25.81500816,25.55625,21.33139881,23.23422619,66.40619902,66.65922619,72.76785714,90.8452381,23.35014881,88.85416667
1999-03-31 00:00:00,694,391.2,418.7,618.5,221.1,260.7,148.7,151.5,209.7,189.3,245.8,1.26,0.59,0.85,-0.46,-0.94,74.2,102.2,167.8,34.4,56.7,19.5,17.9,40.9,39.8,48.1,26.28373656,24.67392473,20.37916667,23.40712366,65.39650538,65.32123656,74.2688172,89.46505376,22.67741935,73.04973118
1999-04-30 00:00:00,915,308.1,345.1,521.8,190.7,233.5,120.9,121.2,170,151.9,220.3,1.08,0.53,0.91,-0.71,-1.26,10.3,26.9,54.7,20.1,33.5,5.4,3.3,8.3,6.5,30.1,24.21694444,22.04444444,18.29541667,21.46458333,60.15555556,60.83055556,67.02361111,84.84861111,22.03388889,71.59027778
1999-05-31 00:00:00,610,250.4,285.1,440.9,156.3,209.1,102.5,103.1,154.3,139.4,209.1,0.95,0.5,0.89,-0.61,-0.86,8.2,15.8,36.2,7.6,28.3,7,7,20.4,19.8,38.1,20.84005376,18.5436828,15.34354839,18.78454301,71.53763441,65.04032258,66.22715054,83.06989247,19.55120968,66.59677419
1999-06-30 00:00:00,122,204.3,226.8,361.5,128.9,161.8,80.9,82.5,125.1,109.6,162.4,1.04,0.48,0.94,-0.6,-0.83,6.4,3.3,17.6,6.2,0.5,0.5,1.5,5.4,1.5,2.2,14.81908078,14.88722222,12.50833333,16.17680556,63.99164345,58.84027778,54.5125,75.325,17.59875,55.36527778
1999-07-31 00:00:00,31,173.8,188.2,330.9,109.7,126,68.8,69.6,101.5,85.6,126,1.19,0.49,1.27,-0.49,-0.76,13.4,10.9,49.6,9.5,0.4,5.8,5.2,4.5,0.4,0.4,13.27876344,15.23548387,12.2655914,16.57271505,61.91666667,60.96908602,62.60215054,75.79569892,17.48884409,60.02956989
1999-08-31 00:00:00,97,136.2,147.4,256.7,83.8,102.2,52,52.8,80.1,66.8,95.9,1.12,0.36,1,-0.58,-0.84,2.8,3.2,5.3,0.5,6.2,0.1,0,3,1.5,0,16.40860215,17.96129032,14.5202957,17.64018817,45.11155914,47.84075574,52.21102151,52.20430108,19.18104839,56.40188172
1999-09-30 00:00:00,335,110,115.3,206.2,66.9,94.3,39.2,49.5,62.5,50.7,77.7,0.49,-0.1,0.51,-0.51,-1.01,7.8,5.5,12.9,4.7,19.8,1.2,10.7,3.6,1.8,7.5,20.52902778,20.22544643,16.57847222,19.62759104,42.70571827,44.81845238,51.73472222,51.64473684,20.49180556,55.70138889
1999-10-31 00:00:00,377,123.6,130.2,193.2,100.2,106.8,57.9,68.3,71.7,62.5,77.7,0.49,-0.12,0.02,-0.27,-1.3,44.9,48.6,43.3,53.3,41.8,31.3,34.5,28.4,27.9,24.2,15.3,22.62096774,18.10329513,20.31209677,60,51.13709677,59.22492837,62.09946237,21.59126344,65.00806452
1999-11-30 00:00:00,969,219.8,209.1,272.7,165.4,136.3,162.5,112.4,153.3,101.4,105.8,1.59,0.34,0.44,0.09,-0.47,135.4,121.8,138.2,98.3,64.2,124.8,67.3,106.1,61.1,55.1,22.49554367,25.12486111,20.75902778,22.77736111,54.55510753,63.80555556,66.21527778,71.02777778,23.34305556,70.51666667
1999-12-31 00:00:00,403,195.9,284,331.3,176.1,262.1,193.7,144.8,226,142.8,245.4,0.28,0.59,0.35,0.07,0.23,47,143.2,146.5,63.1,168.8,83.9,68.4,122.9,75.4,174.7,22.49554367,20.3,21.48024194,23.98104839,54.55510753,77,69.1733871,72.06048387,24.7858871,69.92876344
2000-01-31 00:00:00,393,402.8,368.7,584.8,299,293.4,241.9,232.5,309.4,218.5,371.5,1.88,0.5,1.24,0.78,0.79,263.5,170.3,353.1,172.4,110,103.1,129.4,149.6,117.2,201.3,22.60484522,24.1243607,20.65430108,22.62862903,82.81292059,75.58411844,74.15322581,78.65188172,23.24099462,75.52016129
2000-02-29 00:00:00,242,830.3,789.9,1553.6,685.1,340.9,389.1,504.3,418.6,405.7,459.8,4.81,3.14,5.51,4.27,1.92,548.3,524.7,1142.2,471.5,126.6,211.7,337.2,194.6,248.9,193.9,24.7954023,25.63045977,20.60360231,22.82068966,83.78304598,76.0862069,80.08645533,84.50574713,23.54267241,81.43678161
2000-03-31 00:00:00,573,711.3,874.5,1447.9,634.8,360.2,342.9,555.1,386.7,377.1,431.9,4.2,4.03,5.37,5.55,1.98,122.9,314.5,359.7,150.2,108.6,61,197,81.2,87.5,95.7,24.08198925,22.7608,20.47061995,22.71169355,85.12365591,79.60533333,79.12803235,82.92741935,23.39731183,80.94892473
2000-04-30 00:00:00,614,572.5,736.5,1164.4,503.9,323.4,326.7,437,380.8,366.8,383.8,4.22,4.47,5.51,5.31,3.09,34,90.2,83.1,27.8,53.3,65.7,26.3,87.4,83,56.9,19.25666667,19.57222222,16.71986111,19.77416667,84.44444444,76.92638889,76.48472222,77.96527778,20.51083333,77.13194444
2000-05-31 00:00:00,198,462.4,583.9,924.9,404.8,266.5,266.8,346.6,307.6,315,306.7,3.9,3.94,4.8,4.9,2.87,14.4,16.5,19.1,11.3,18.3,16.2,6.9,17,35.4,10.4,13.84249649,15.15241935,12.8891129,16.61747312,78.74474053,72.53629032,68.46908602,72.86155914,17.81626344,68.95564516
2000-06-30 00:00:00,82,387.2,509.4,791.8,341.4,223,225.9,290,266.1,254.5,258.2,4.37,4.64,5.38,5.45,3.57,20.8,48.3,58.3,20.6,14.6,16.9,15.3,25.3,9.4,16.2,14.24180556,14.70833333,12.29833333,16.08722222,82.95555556,75.69861111,73.97083333,74.68194444,17.44277778,70.45972222
2000-07-31 00:00:00,75,314.6,402.5,634.4,277.6,178.1,176.9,229,208,200.4,203.4,4.36,4.25,4.94,4.81,3.31,9.4,3.1,10.8,8.6,3.9,0.4,0,0.5,0,0.6,13.02715054,13.22043011,10.81384409,14.88413978,69.61424731,65.42375169,62.96236559,67.58198925,16.41680108,62.24462366
2000-08-31 00:00:00,92,246.3,316.7,500.3,217.6,140.3,138.2,183.4,162.4,158,159.9,4.36,4.16,4.64,5.02,3.28,0.4,0.3,1,0.4,2.2,0.1,3.1,0,0.2,0.8,15.17436709,16.97594086,13.47634409,16.45219178,60.57188498,59.09005376,59.30376344,63.50136986,18.15551075,61.35215054
2000-09-30 00:00:00,106,202,257.3,439.9,173.8,115.6,106.4,141.3,127.3,122.3,123.1,2.97,2.96,4.21,3.34,1.42,12.9,12,52.3,6.5,9,0.8,0,2.8,0,1,23.10740157,21.03194444,17.16875,19.61444444,51.46299213,55.54305556,57.98194444,65.38194444,20.81069444,60.91944444
2000-10-31 00:00:00,978,174.6,239.2,413.1,169.3,144.8,125.4,132.1,148.6,103,141.7,1.8,2.09,3.49,2.13,1.46,26.1,47.2,86.9,40.9,60.6,47.5,26.8,54.8,11.5,51.4,26.40786749,23.86634877,19.29166667,21.58870968,52.89397089,61.27384196,62.06048387,65.51075269,22.26424731,63.8655914
2000-11-30 00:00:00,1303,201.1,259.2,416.6,193.9,226.1,157.3,149.1,180.8,101.2,198.1,1.2,1.22,2.63,1.11,0.4,79.6,90,124.3,75.7,126.3,71.5,56.5,78.4,28.3,101.4,24.88458716,24.27972222,19.24708333,22.30652778,63.28256881,65.69722222,70.8375,69.91388889,22.78611111,69.36944444
2000-12-31 00:00:00,797,189.6,290.4,397.4,173.8,284.9,176.8,155,199,113.1,228.5,0.17,0.69,1.25,0.34,-0.41,54.6,113.3,112.5,42.3,130.2,68.9,54.4,75.2,44.9,95.5,27.36505376,25.82056452,21.05604839,23.94517906,69.18548387,66.20295699,67.56451613,64.3030303,24.83387097,65.54973118
2001-01-31 00:00:00,560,132.1,225.7,301.9,133.6,259.6,140.9,123,174.1,96,193.8,-1.09,-0.83,-0.71,-0.9,-1.23,7.1,28.7,36,16.7,58.1,17.7,19.3,35.4,21.3,35.4,29.73965054,26.80134409,21.80026882,24.64704301,57.89784946,61.00268817,61.96102151,60.93951613,24.61532258,65.74731183
2001-02-28 00:00:00,516,261.5,380.4,592.4,207.2,259.3,173.2,171.6,240.9,146.5,271.7,0.06,0.29,0.61,-0.08,-0.28,173.2,225.4,391.4,117.2,68.2,71.6,88.6,115.4,82.2,130.8,24.4735119,24.64345238,20.55089286,22.53258929,74.37797619,75.03125,73.00744048,77.87202381,23.68497024,74.59375
2001-03-31 00:00:00,253,278.9,335.2,561.4,207.8,221.8,170,167.5,195,132.2,217.6,0.22,-0.03,0.54,-0.04,-0.99,94.9,68.6,146.7,61,28.3,43.7,46.6,21.3,29.7,20.7,24.04936248,23.46091644,19.68561828,21.97284946,75.86313869,79.37196765,75.49462366,79.7594086,23.48158602,75.49462366
2001-04-30 00:00:00,360,234.7,270.4,491.4,184.8,188.9,156.6,151.9,174.8,116.2,204.7,0.21,-0.21,0.69,0.06,-0.94,29,19.3,73.5,30.2,18.4,29.7,26.8,26.9,18.7,38.1,21.88460237,21.01486111,17.90347222,20.61861111,79.09137056,77.92222222,75.49861111,76.54444444,22.19333333,74.26388889
2001-05-31 00:00:00,511,191.1,221.7,405.3,151,182.1,125.4,129.8,149.6,96.8,189.1,0.12,-0.21,0.6,0.16,-0.73,11,11.9,28.8,9.9,35.1,5.9,13.6,15.1,8.2,31.7,14.4964467,17.33400538,14.2858871,17.49610215,71.81725888,70.62231183,65.90725806,70.64112903,19.49032258,65.64112903
2001-06-30 00:00:00,47,152.6,178.5,326.5,120.5,143.9,100.8,110.3,120.7,90.5,151.3,0.1,-0.2,0.58,0.19,-0.72,3.3,5.1,10.9,3,4.5,3.1,9.7,4.8,14.9,6,11.85972222,14.95375,11.80680556,15.59305556,69.05416667,68.31527778,63.60555556,67.44583333,17.80888889,60.82083333
2001-07-31 00:00:00,30,122.9,142.9,277.6,104.2,112.8,80.3,85.8,94.1,69.9,118,0.05,-0.27,0.62,0.05,-0.76,2.8,2.6,21.5,9.8,1.5,1.5,0,0,0,0.2,12.14905914,14.25497312,11.22204301,15.08521505,57.9233871,64.44758065,57.77284946,61.58870968,17.01774194,55.90860215
2001-08-31 00:00:00,27,96.6,112,216.9,80.1,86.1,61.9,66.8,72.7,54.6,91.3,-0.05,-0.37,0.41,-0.03,-0.91,0.6,1.1,2.5,0,0,0,0,0,0,0,17.45174731,18.91021505,15.61317204,18.2813172,45.40755735,55.13037634,55.79032258,62.92069892,19.71182796,61.32795699
2001-09-30 00:00:00,370,87.2,87.1,183.9,63.2,66.9,46.5,51.9,56.2,42.1,73.9,-0.14,-0.59,0.16,-0.43,-1.08,13.4,2.5,18.8,2.4,3.3,0.1,0.9,1.8,0.1,5.1,20.64768,21.32458333,17.24805556,19.8475,43.91639871,43.93233083,53.96105702,59.31388889,20.9575,57.33888889
2001-10-31 00:00:00,400,72.9,140.7,189.4,63.3,130.1,83.2,52.2,90.6,55.7,128.1,-0.76,0.01,-0.04,-0.75,-0.74,9.3,77.9,54.3,17.2,83.7,50.3,14.2,50.9,24.4,75.3,23.75510753,22.87419355,19.44758065,22.63924731,53.64784946,53.84672619,63.17069892,60.24462366,23.0516129,62.60080645
2001-11-30 00:00:00,546,231.2,300.6,407.1,160,300,214.6,159.9,310.9,218.8,282.8,1.82,1.94,2.49,1.41,3.51,179.9,205.1,273.6,116,213.2,158.4,123.8,249.8,180.1,195.9,22.26415094,22.00694444,19.40143062,22.41694444,72.39386792,53.84672619,79.92350487,74.81666667,23.09944444,75.39027778
2001-12-31 00:00:00,409,282,322.5,473.3,203,379.7,228.8,165.5,328.5,210.2,279.7,1.71,1.22,2.29,0.62,2.64,124.4,116.3,193.6,93.5,173.3,81.4,56.7,116,60.9,84.6,24.38897397,24.95667575,21.05497312,22.98037634,64.51376147,53.84672619,77.92876344,76.97311828,24.0327957,74.23924731
2002-01-31 00:00:00,375,271,344.3,488.3,186.6,378.4,228.9,153.6,288.3,189.5,246.8,0.44,0.27,0.58,-0.43,0.47,70.3,112.1,151.5,42.4,105,62.7,34.5,49.9,36.2,42.8,26.19012876,27.24274194,22.16384409,24.57043011,53.41917024,53.84672619,67.8172043,66.86424731,25.92688172,63.65591398
2002-02-28 00:00:00,421,205.1,276.6,392.7,145,388.2,196.2,131.6,264.8,184.3,234,-0.52,-0.43,-0.41,-0.73,-0.08,6.8,25.1,39.2,8,106.2,26.3,18.2,47.6,42.1,48.8,25.71160714,26.81056548,21.44955357,23.50580357,54.36458333,53.84672619,69.87053571,67.94047619,24.42127976,68.93154762
2002-03-31 00:00:00,506,167.1,225.7,339.3,125.7,342.6,157.3,106.1,218.9,146.1,196.6,-0.78,-0.85,-0.65,-1.09,-0.76,8.7,12.5,39.4,14.1,49.5,6.8,5.8,15.5,6,18.1,23.87729885,25.95241935,21.22782258,23.76801075,57.15086207,53.84672619,62.45698925,61.88709677,24.55927419,65.62365591
2002-04-30 00:00:00,419,153.9,220.7,291.8,108,297.7,151.5,109,233.8,180.5,179.9,-0.71,-0.7,-0.69,-0.89,0.05,22.3,43.2,28.8,10.3,33.5,28,26.2,62.5,66.1,27.5,20.93941504,22.64541667,19.24944444,21.09277778,56.2729805,53.84672619,63.73611111,67.08055556,22.92972222,64.85555556
2002-05-31 00:00:00,189,124.9,175.3,233.2,88.3,236.1,126.7,90.6,190.6,147.8,160.6,-0.74,-0.72,-0.71,-0.84,0.04,5.2,5,5.8,3.9,4.8,9.5,7.3,12.4,12.4,21.8,16.03051075,18.16706989,15.41975806,18.6608871,49.33467742,53.84672619,55.06182796,58.28897849,20.425,55.58736559
2002-06-30 00:00:00,61,115.5,145.9,229,78.3,191.9,114.9,76.1,154.7,122.7,125.5,-0.52,-0.65,-0.37,-0.75,0.1,17.9,9,46.3,9.4,6.2,16.5,6,6.9,8.8,1.9,12.34416667,14.38166667,12.09333333,15.55055556,58.34861111,53.84672619,63.79137691,65.52916667,17.32888889,60.14444444
2002-07-31 00:00:00,14,90.7,114,176,59.9,154.9,87.7,58.5,119.9,95,96.9,-0.58,-0.71,-0.5,-0.79,-0.03,2.9,1.7,2.9,0.2,5.5,0.3,0,0.4,0.3,0.1,12.08051075,14.10080645,12.35443548,16.06357527,38.50134409,53.84672619,49.19758065,53.98655914,18.07204301,47.85887097
2002-08-31 00:00:00,10,71.5,88,145.5,46.8,137.3,66.5,44.7,91.9,73.6,95.4,-0.62,-0.79,-0.52,-0.86,-0.19,3.3,1.9,12.4,1.6,19.5,0.1,0.2,0.7,0.8,22.1,18.10067204,19.22634409,15.58803763,18.46034946,46.27553763,53.84672619,61.41935484,63.31854839,20.01760753,59.65322581
2002-09-30 00:00:00,238,64.1,86.2,126.3,45.4,124.9,55.3,42,70.5,56.7,70.6,-0.63,-0.64,-0.57,-0.8,-0.56,12.4,22.7,20.5,11.6,25.4,6.8,9.2,3.5,2,2.7,21.17861111,21.095,16.88069444,19.43583333,32.69722222,53.84672619,53.83611111,56.675,20.96916667,55.24166667
2002-10-31 00:00:00,146,63.5,74.4,174.9,51,185.8,65.9,59.2,111.1,75.3,125.8,-0.87,-1.1,-0.26,-0.63,0.11,19.9,16.8,87.6,20.5,99.8,28.5,30.7,63.4,35.7,77.5,24.25985294,24.75389785,20.16303763,21.5922043,44.12647059,53.84672619,56.60483871,60.72812921,22.99448925,56.84811828
